Data,IDVenditore,IDAcquirente,Valore
2019-03-02,utente_5,utente_1,504
2019-03-02,utente_4,utente_5,528
2019-03-02,utente_2,utente_6,310
2019-03-02,utente_4,utente_7,301
2019-03-02,utente_3,utente_10,966
2019-03-02,utente_8,utente_4,919
2019-03-02,utente_3,utente_2,826
2019-03-02,utente_10,utente_7,722
2019-03-02,utente_2,utente_4,653
2019-03-02,utente_4,utente_8,264
2019-03-02,utente_8,utente_4,207
2019-03-02,utente_6,utente_4,591
2019-03-02,utente_5,utente_6,640
2019-03-02,utente_6,utente_2,324
2019-03-02,utente_10,utente_7,325
2019-03-02,utente_3,utente_7,390
2019-03-02,utente_9,utente_7,437
2019-03-02,utente_8,utente_9,173
2019-03-02,utente_8,utente_7,895
2019-03-02,utente_3,utente_7,192
2019-03-02,utente_9,utente_8,275
2019-03-02,utente_7,utente_8,975
2019-03-02,utente_6,utente_1,665
2019-03-02,utente_7,utente_6,55
2019-03-02,utente_10,utente_1,483
2019-03-02,utente_2,utente_3,724
2019-03-02,utente_10,utente_1,856
2019-03-02,utente_10,utente_2,252
2019-03-02,utente_7,utente_10,673
2019-03-02,utente_7,utente_8,14
2019-03-02,utente_2,utente_3,647
2019-03-02,utente_5,utente_3,357
2019-03-02,utente_6,utente_10,585
2019-03-02,utente_7,utente_10,718
2019-03-02,utente_8,utente_1,258
2019-03-02,utente_1,utente_5,581
2019-03-02,utente_3,utente_10,227
2019-03-02,utente_1,utente_7,391
2019-03-02,utente_7,utente_9,692
2019-03-02,utente_5,utente_4,607
2019-03-02,utente_5,utente_7,126
2019-03-02,utente_7,utente_1,747
2019-03-02,utente_5,utente_1,473
2019-03-02,utente_10,utente_8,676
2019-03-02,utente_3,utente_5,745
2019-03-02,utente_4,utente_1,707
2019-03-02,utente_1,utente_4,853
2019-03-02,utente_2,utente_5,925
2019-03-02,utente_2,utente_10,742
2019-03-02,utente_5,utente_7,999
2019-03-02,utente_8,utente_6,613
2019-03-02,utente_4,utente_10,376
2019-03-02,utente_10,utente_6,839
2019-03-02,utente_10,utente_8,453
2019-03-02,utente_7,utente_3,188
2019-03-02,utente_5,utente_2,21
2019-03-02,utente_8,utente_5,885
2019-03-02,utente_4,utente_8,163
2019-03-02,utente_3,utente_4,456
2019-03-02,utente_1,utente_4,210
2019-03-02,utente_7,utente_5,118
2019-03-02,utente_9,utente_7,821
2019-03-02,utente_1,utente_2,384
2019-03-02,utente_9,utente_6,899
2019-03-02,utente_9,utente_1,605
2019-03-02,utente_1,utente_6,314
2019-03-02,utente_3,utente_1,960
2019-03-02,utente_3,utente_6,504
2019-03-02,utente_4,utente_1,442
2019-03-02,utente_1,utente_10,818
2019-03-02,utente_7,utente_9,368
2019-03-02,utente_2,utente_8,711
2019-03-02,utente_5,utente_4,855
2019-03-02,utente_5,utente_7,529
2019-03-02,utente_2,utente_9,141
2019-03-02,utente_3,utente_7,264
2019-03-02,utente_6,utente_5,94
2019-03-02,utente_9,utente_5,689
2019-03-02,utente_2,utente_8,215
2019-03-02,utente_9,utente_8,59
2019-03-02,utente_6,utente_4,208
2019-03-02,utente_5,utente_4,882
2019-03-02,utente_9,utente_2,170
2019-03-02,utente_2,utente_10,569
2019-03-02,utente_1,utente_2,860
2019-03-02,utente_2,utente_1,217
2019-03-02,utente_1,utente_2,84
2019-03-02,utente_1,utente_9,732
2019-03-02,utente_10,utente_9,491
2019-03-02,utente_7,utente_3,370
2019-03-02,utente_1,utente_6,909
2019-03-02,utente_1,utente_5,784
2019-03-02,utente_3,utente_6,43
2019-03-02,utente_6,utente_3,556
2019-03-02,utente_6,utente_7,785
2019-03-02,utente_8,utente_2,348
2019-03-02,utente_3,utente_8,254
2019-03-02,utente_9,utente_1,129
2019-03-02,utente_8,utente_4,33
2019-03-02,utente_3,utente_2,500
2019-03-02,utente_9,utente_10,62
2019-03-02,utente_4,utente_3,969
2019-03-02,utente_4,utente_6,612
2019-03-02,utente_4,utente_5,395
2019-03-02,utente_9,utente_8,856
2019-03-02,utente_3,utente_7,766
2019-03-02,utente_4,utente_5,504
2019-03-02,utente_8,utente_5,869
2019-03-02,utente_6,utente_5,997
2019-03-02,utente_4,utente_3,787
2019-03-02,utente_9,utente_1,374
2019-03-02,utente_8,utente_5,280
2019-03-02,utente_3,utente_1,559
2019-03-02,utente_10,utente_9,933
2019-03-02,utente_7,utente_6,696
2019-03-02,utente_7,utente_10,220
2019-03-02,utente_6,utente_4,514
2019-03-02,utente_7,utente_3,425
2019-03-02,utente_5,utente_4,327
2019-03-02,utente_8,utente_4,464
2019-03-02,utente_7,utente_6,650
2019-03-02,utente_1,utente_9,615
2019-03-02,utente_9,utente_5,119
2019-03-02,utente_5,utente_4,292
2019-03-02,utente_6,utente_1,709
2019-03-02,utente_5,utente_2,407
2019-03-02,utente_10,utente_6,76
2019-03-02,utente_8,utente_9,387
2019-03-02,utente_7,utente_10,495
2019-03-02,utente_5,utente_1,982
2019-03-02,utente_10,utente_3,211
2019-03-02,utente_2,utente_1,343
2019-03-02,utente_2,utente_4,993
2019-03-02,utente_3,utente_2,516
2019-03-02,utente_4,utente_5,649
2019-03-02,utente_10,utente_5,372
2019-03-02,utente_6,utente_3,248
2019-03-02,utente_4,utente_1,928
2019-03-02,utente_7,utente_5,351
2019-03-02,utente_7,utente_2,984
2019-03-02,utente_1,utente_10,263
2019-03-02,utente_2,utente_8,391
2019-03-02,utente_9,utente_4,101
2019-03-02,utente_2,utente_3,570
2019-03-02,utente_2,utente_6,498
2019-03-02,utente_5,utente_4,808
2019-03-02,utente_8,utente_1,528
2019-03-02,utente_10,utente_5,178
2019-03-02,utente_1,utente_4,180
2019-03-02,utente_7,utente_6,648
2019-03-02,utente_4,utente_8,541
2019-03-02,utente_4,utente_10,242
2019-03-02,utente_1,utente_9,83
2019-03-02,utente_1,utente_6,810
2019-03-02,utente_4,utente_5,21
2019-03-02,utente_9,utente_7,567
2019-03-02,utente_5,utente_7,688
2019-03-02,utente_2,utente_8,147
2019-03-02,utente_8,utente_6,535
2019-03-02,utente_6,utente_2,569
2019-03-02,utente_2,utente_7,155
2019-03-02,utente_7,utente_1,504
2019-03-02,utente_4,utente_2,153
2019-03-02,utente_6,utente_1,956
2019-03-02,utente_7,utente_1,546
2019-03-02,utente_5,utente_3,28
2019-03-02,utente_10,utente_6,974
2019-03-02,utente_10,utente_8,780
2019-03-02,utente_4,utente_3,674
2019-03-02,utente_4,utente_6,870
2019-03-02,utente_6,utente_3,83
2019-03-02,utente_1,utente_4,491
2019-03-02,utente_1,utente_9,472
2019-03-02,utente_9,utente_8,784
2019-03-02,utente_4,utente_3,427
2019-03-02,utente_6,utente_4,124
2019-03-02,utente_7,utente_2,652
2019-03-02,utente_1,utente_3,890
2019-03-02,utente_2,utente_4,397
2019-03-02,utente_10,utente_9,233
2019-03-02,utente_6,utente_3,471
2019-03-02,utente_9,utente_1,776
2019-03-02,utente_3,utente_2,313
2019-03-02,utente_10,utente_4,136
2019-03-02,utente_9,utente_1,486
2019-03-02,utente_6,utente_4,39
2019-03-02,utente_9,utente_5,930
2019-03-02,utente_1,utente_4,604
2019-03-02,utente_5,utente_1,381
2019-03-02,utente_9,utente_3,981
2019-03-02,utente_7,utente_2,176
2019-03-02,utente_4,utente_7,824
2019-03-02,utente_8,utente_3,278
2019-03-02,utente_10,utente_2,273
2019-03-02,utente_4,utente_6,939
2019-03-02,utente_9,utente_10,280
2019-03-02,utente_6,utente_9,248
2019-03-02,utente_2,utente_7,360
2019-03-02,utente_4,utente_8,583
2019-03-02,utente_10,utente_6,362
2019-03-02,utente_9,utente_1,280
2019-03-02,utente_3,utente_4,435
2019-03-02,utente_6,utente_8,105
2019-03-02,utente_5,utente_4,422
2019-03-02,utente_3,utente_1,584
2019-03-02,utente_1,utente_9,480
2019-03-02,utente_1,utente_7,211
2019-03-02,utente_1,utente_5,117
2019-03-02,utente_9,utente_5,223
2019-03-02,utente_6,utente_5,104
2019-03-02,utente_1,utente_6,7
2019-03-02,utente_10,utente_7,116
2019-03-02,utente_9,utente_3,95
2019-03-02,utente_2,utente_10,809
2019-03-02,utente_6,utente_1,364
2019-03-02,utente_7,utente_9,103
2019-03-02,utente_1,utente_5,481
2019-03-02,utente_6,utente_1,501
2019-03-02,utente_8,utente_9,186
2019-03-02,utente_7,utente_8,266
2019-03-02,utente_2,utente_1,515
2019-03-02,utente_9,utente_8,337
2019-03-02,utente_1,utente_7,461
2019-03-02,utente_9,utente_4,707
2019-03-02,utente_2,utente_6,349
2019-03-02,utente_6,utente_8,268
2019-03-02,utente_4,utente_3,221
2019-03-02,utente_10,utente_6,874
2019-03-02,utente_3,utente_2,717
2019-03-02,utente_1,utente_4,550
2019-03-02,utente_5,utente_3,924
2019-03-02,utente_8,utente_7,745
2019-03-02,utente_2,utente_1,530
2019-03-02,utente_6,utente_5,597
2019-03-02,utente_8,utente_3,10
2019-03-02,utente_9,utente_2,362
2019-03-02,utente_8,utente_2,929
2019-03-02,utente_2,utente_9,261
2019-03-02,utente_5,utente_4,540
2019-03-02,utente_4,utente_5,373
2019-03-02,utente_7,utente_9,675
2019-03-02,utente_5,utente_8,808
2019-03-02,utente_1,utente_6,571
2019-03-02,utente_10,utente_6,323
2019-03-02,utente_10,utente_5,766
2019-03-02,utente_10,utente_8,80
2019-03-02,utente_2,utente_9,345
2019-03-02,utente_5,utente_9,451
2019-03-02,utente_4,utente_9,19
2019-03-02,utente_6,utente_8,830
2019-03-02,utente_1,utente_2,756
2019-03-02,utente_2,utente_10,470
2019-03-02,utente_10,utente_8,230
2019-03-02,utente_2,utente_7,746
2019-03-02,utente_4,utente_1,591
2019-03-02,utente_4,utente_6,727
2019-03-02,utente_8,utente_4,316
2019-03-02,utente_6,utente_8,175
2019-03-02,utente_6,utente_1,623
2019-03-02,utente_9,utente_1,144
2019-03-02,utente_8,utente_10,559
2019-03-02,utente_2,utente_10,277
2019-03-02,utente_1,utente_7,534
2019-03-02,utente_1,utente_4,297
2019-03-02,utente_5,utente_3,689
2019-03-02,utente_4,utente_5,860
2019-03-02,utente_7,utente_6,552
2019-03-02,utente_1,utente_2,346
2019-03-02,utente_7,utente_9,304
2019-03-02,utente_4,utente_1,488
2019-03-02,utente_7,utente_2,211
2019-03-02,utente_2,utente_7,217
2019-03-02,utente_10,utente_4,175
2019-03-02,utente_9,utente_10,411
2019-03-02,utente_5,utente_7,709
2019-03-02,utente_9,utente_4,470
2019-03-02,utente_4,utente_8,293
2019-03-02,utente_6,utente_1,270
2019-03-02,utente_2,utente_8,243
2019-03-02,utente_2,utente_4,256
2019-03-02,utente_2,utente_9,30
2019-03-02,utente_4,utente_1,35
2019-03-02,utente_4,utente_6,457
2019-03-02,utente_10,utente_8,966
2019-03-02,utente_9,utente_10,462
2019-03-02,utente_7,utente_3,133
2019-03-02,utente_1,utente_9,174
2019-03-02,utente_1,utente_9,347
2019-03-02,utente_1,utente_8,925
2019-03-02,utente_1,utente_4,863
2019-03-02,utente_1,utente_9,256
2019-03-02,utente_7,utente_10,93
2019-03-02,utente_2,utente_7,940
2019-03-02,utente_4,utente_1,88
2019-03-02,utente_6,utente_10,828
2019-03-02,utente_3,utente_6,65
2019-03-02,utente_9,utente_1,603
2019-03-02,utente_9,utente_7,627
2019-03-02,utente_4,utente_10,228
2019-03-02,utente_3,utente_2,260
2019-03-02,utente_1,utente_5,713
2019-03-02,utente_6,utente_10,421
2019-03-02,utente_1,utente_5,819
2019-03-02,utente_3,utente_10,37
2019-03-02,utente_7,utente_3,618
2019-03-02,utente_10,utente_9,561
2019-03-02,utente_3,utente_8,242
2019-03-02,utente_3,utente_2,639
2019-03-02,utente_10,utente_8,667
2019-03-02,utente_3,utente_4,289
2019-03-02,utente_8,utente_10,691
2019-03-02,utente_8,utente_4,143
2019-03-02,utente_8,utente_4,270
2019-03-02,utente_2,utente_4,558
2019-03-02,utente_3,utente_9,894
2019-03-02,utente_7,utente_9,442
2019-03-02,utente_5,utente_3,550
2019-03-02,utente_6,utente_2,773
2019-03-02,utente_9,utente_1,734
2019-03-02,utente_1,utente_7,404
2019-03-02,utente_7,utente_4,556
2019-03-02,utente_4,utente_8,147
2019-03-02,utente_8,utente_6,132
2019-03-02,utente_2,utente_6,680
2019-03-02,utente_8,utente_2,267
2019-03-02,utente_5,utente_2,321
2019-03-02,utente_10,utente_2,61
2019-03-02,utente_1,utente_5,386
2019-03-02,utente_7,utente_3,306
2019-03-02,utente_2,utente_10,749
2019-03-02,utente_7,utente_5,675
2019-03-02,utente_3,utente_8,438
2019-03-02,utente_8,utente_1,357
2019-03-02,utente_9,utente_8,303
2019-03-02,utente_6,utente_1,633
2019-03-02,utente_3,utente_4,342
2019-03-02,utente_1,utente_7,343
2019-03-02,utente_9,utente_4,716
2019-03-02,utente_4,utente_1,438
2019-03-02,utente_5,utente_2,37
2019-03-02,utente_1,utente_5,340
2019-03-02,utente_5,utente_7,356
2019-03-02,utente_4,utente_6,385
2019-03-02,utente_1,utente_4,533
2019-03-02,utente_5,utente_10,897
2019-03-02,utente_5,utente_9,664
2019-03-02,utente_1,utente_9,754
2019-03-02,utente_6,utente_5,720
2019-03-02,utente_4,utente_9,593
2019-03-02,utente_9,utente_1,753
2019-03-02,utente_10,utente_1,435
2019-03-02,utente_10,utente_9,902
2019-03-02,utente_4,utente_8,227
2019-03-02,utente_9,utente_8,224
2019-03-02,utente_9,utente_3,192
2019-03-02,utente_1,utente_2,658
2019-03-02,utente_5,utente_4,128
2019-03-02,utente_7,utente_5,113
2019-03-02,utente_9,utente_10,796
2019-03-02,utente_8,utente_3,407
2019-03-02,utente_5,utente_7,62
2019-03-02,utente_4,utente_3,824
2019-03-02,utente_1,utente_5,802
2019-03-02,utente_9,utente_10,19
2019-03-02,utente_4,utente_9,287
2019-03-02,utente_7,utente_4,245
2019-03-02,utente_2,utente_8,574
2019-03-02,utente_7,utente_2,691
2019-03-02,utente_3,utente_6,780
2019-03-02,utente_7,utente_3,23
2019-03-02,utente_2,utente_10,86
2019-03-02,utente_1,utente_6,637
2019-03-02,utente_1,utente_3,527
2019-03-02,utente_7,utente_1,153
2019-03-02,utente_4,utente_2,135
2019-03-02,utente_8,utente_7,498
2019-03-02,utente_9,utente_2,55
2019-03-02,utente_1,utente_6,534
2019-03-02,utente_8,utente_6,125
2019-03-02,utente_9,utente_3,703
2019-03-02,utente_9,utente_10,353
2019-03-02,utente_9,utente_10,953
2019-03-02,utente_2,utente_3,490
2019-03-02,utente_2,utente_3,406
2019-03-02,utente_8,utente_4,415
2019-03-02,utente_4,utente_6,1
2019-03-02,utente_3,utente_10,858
2019-03-02,utente_6,utente_10,282
2019-03-02,utente_8,utente_9,975
2019-03-02,utente_1,utente_2,912
2019-03-02,utente_5,utente_1,159
2019-03-02,utente_2,utente_6,896
2019-03-02,utente_1,utente_2,624
2019-03-02,utente_7,utente_10,607
2019-03-02,utente_8,utente_6,409
2019-03-02,utente_6,utente_3,923
2019-03-02,utente_4,utente_9,478
2019-03-02,utente_10,utente_4,570
2019-03-02,utente_4,utente_9,273
2019-03-02,utente_10,utente_1,658
2019-03-02,utente_3,utente_8,845
2019-03-02,utente_5,utente_1,225
2019-03-02,utente_2,utente_8,58
2019-03-02,utente_7,utente_4,334
2019-03-02,utente_9,utente_2,983
2019-03-02,utente_8,utente_4,814
2019-03-02,utente_5,utente_7,765
2019-03-02,utente_6,utente_3,639
2019-03-02,utente_8,utente_4,653
2019-03-02,utente_3,utente_5,67
2019-03-02,utente_9,utente_3,931
2019-03-02,utente_10,utente_7,673
2019-03-02,utente_7,utente_1,434
2019-03-02,utente_3,utente_1,487
2019-03-02,utente_9,utente_2,6
2019-03-02,utente_7,utente_4,681
2019-03-02,utente_9,utente_1,203
2019-03-02,utente_1,utente_10,140
2019-03-02,utente_1,utente_5,637
2019-03-02,utente_3,utente_4,114
2019-03-02,utente_6,utente_8,37
2019-03-02,utente_3,utente_7,427
2019-03-02,utente_10,utente_9,380
2019-03-02,utente_9,utente_2,790
2019-03-02,utente_5,utente_3,740
2019-03-02,utente_3,utente_5,888
2019-03-02,utente_8,utente_9,250
2019-03-02,utente_6,utente_1,380
2019-03-02,utente_2,utente_8,802
2019-03-02,utente_4,utente_2,371
2019-03-02,utente_10,utente_7,590
2019-03-02,utente_1,utente_9,591
2019-03-02,utente_8,utente_6,344
2019-03-02,utente_4,utente_3,881
2019-03-02,utente_7,utente_2,241
2019-03-02,utente_9,utente_8,515
2019-03-02,utente_8,utente_6,353
2019-03-02,utente_9,utente_3,192
2019-03-02,utente_7,utente_1,165
2019-03-02,utente_8,utente_10,230
2019-03-02,utente_8,utente_7,487
2019-03-02,utente_2,utente_6,922
2019-03-02,utente_2,utente_4,605
2019-03-02,utente_8,utente_10,737
2019-03-02,utente_6,utente_8,982
2019-03-02,utente_10,utente_3,125
2019-03-02,utente_6,utente_2,167
2019-03-02,utente_3,utente_2,873
2019-03-02,utente_7,utente_5,753
2019-03-02,utente_2,utente_1,404
2019-03-02,utente_1,utente_3,978
2019-03-02,utente_1,utente_2,97
2019-03-02,utente_6,utente_9,647
2019-03-02,utente_8,utente_1,392
2019-03-02,utente_5,utente_9,966
2019-03-02,utente_5,utente_10,528
2019-03-02,utente_4,utente_3,121
2019-03-02,utente_6,utente_10,993
2019-03-02,utente_10,utente_2,385
2019-03-02,utente_7,utente_5,317
2019-03-02,utente_5,utente_9,860
2019-03-02,utente_7,utente_3,799
2019-03-02,utente_10,utente_6,651
2019-03-02,utente_4,utente_5,143
2019-03-02,utente_3,utente_1,370
2019-03-02,utente_5,utente_7,326
2019-03-02,utente_10,utente_9,426
2019-03-02,utente_7,utente_9,274
2019-03-02,utente_10,utente_5,772
2019-03-02,utente_6,utente_10,190
2019-03-02,utente_8,utente_9,251
2019-03-02,utente_10,utente_1,559
2019-03-02,utente_7,utente_2,926
2019-03-02,utente_7,utente_9,444
2019-03-02,utente_8,utente_1,814
2019-03-02,utente_9,utente_7,551
2019-03-02,utente_3,utente_5,506
2019-03-02,utente_2,utente_3,843
2019-03-02,utente_3,utente_9,669
2019-03-02,utente_4,utente_2,633
2019-03-02,utente_5,utente_10,377
2019-03-02,utente_10,utente_9,156
2019-03-02,utente_3,utente_8,336
2019-03-02,utente_9,utente_4,681
2019-03-02,utente_6,utente_8,966
2019-03-02,utente_7,utente_9,36
2019-03-02,utente_2,utente_1,609
2019-03-02,utente_3,utente_4,956
2019-03-02,utente_2,utente_6,440
2019-03-02,utente_8,utente_9,370
2019-03-02,utente_5,utente_2,800
2019-03-02,utente_1,utente_9,140
2019-03-02,utente_3,utente_6,319
2019-03-02,utente_4,utente_9,623
2019-03-02,utente_3,utente_8,226
2019-03-02,utente_1,utente_6,164
2019-03-02,utente_4,utente_10,55
2019-03-02,utente_7,utente_2,612
2019-03-02,utente_6,utente_3,227
2019-03-02,utente_3,utente_9,750
2019-03-02,utente_7,utente_8,78
2019-03-02,utente_1,utente_4,9
2019-03-02,utente_4,utente_2,773
2019-03-02,utente_6,utente_7,186
2019-03-02,utente_6,utente_2,58
2019-03-02,utente_9,utente_7,732
2019-03-02,utente_9,utente_10,316
2019-03-02,utente_5,utente_3,536
2019-03-02,utente_1,utente_9,875
2019-03-02,utente_3,utente_2,849
2019-03-02,utente_3,utente_6,226
2019-03-02,utente_7,utente_2,596
2019-03-02,utente_5,utente_6,600
2019-03-02,utente_4,utente_5,145
2019-03-02,utente_6,utente_5,880
2019-03-02,utente_9,utente_6,116
2019-03-02,utente_5,utente_1,147
2019-03-02,utente_8,utente_7,471
2019-03-02,utente_7,utente_6,99
2019-03-02,utente_8,utente_4,689
2019-03-02,utente_7,utente_1,315
2019-03-02,utente_6,utente_10,168
2019-03-02,utente_1,utente_9,468
2019-03-02,utente_2,utente_7,90
2019-03-02,utente_7,utente_3,795
2019-03-02,utente_2,utente_7,509
2019-03-02,utente_2,utente_8,97
2019-03-02,utente_2,utente_5,996
2019-03-02,utente_6,utente_8,941
2019-03-02,utente_4,utente_3,604
2019-03-02,utente_10,utente_5,12
2019-03-02,utente_2,utente_10,681
2019-03-02,utente_8,utente_3,277
2019-03-02,utente_3,utente_2,628
2019-03-02,utente_8,utente_7,273
2019-03-02,utente_8,utente_4,353
2019-03-02,utente_6,utente_2,75
2019-03-02,utente_2,utente_7,398
2019-03-02,utente_2,utente_7,844
2019-03-02,utente_7,utente_6,693
2019-03-02,utente_3,utente_9,814
2019-03-02,utente_1,utente_5,456
2019-03-02,utente_3,utente_7,764
2019-03-02,utente_10,utente_5,9
2019-03-02,utente_7,utente_2,11
2019-03-02,utente_4,utente_6,934
2019-03-02,utente_9,utente_1,622
2019-03-02,utente_8,utente_2,948
2019-03-02,utente_2,utente_6,422
2019-03-02,utente_1,utente_7,404
2019-03-02,utente_3,utente_5,149
2019-03-02,utente_1,utente_5,294
2019-03-02,utente_1,utente_5,160
2019-03-02,utente_2,utente_10,685
2019-03-02,utente_7,utente_4,550
2019-03-02,utente_4,utente_3,887
2019-03-02,utente_10,utente_5,796
2019-03-02,utente_8,utente_5,359
2019-03-02,utente_10,utente_4,675
2019-03-02,utente_1,utente_3,269
2019-03-02,utente_3,utente_1,292
2019-03-02,utente_3,utente_5,894
2019-03-02,utente_7,utente_5,840
2019-03-02,utente_5,utente_8,903
2019-03-02,utente_5,utente_8,162
2019-03-02,utente_1,utente_2,618
2019-03-02,utente_10,utente_6,591
2019-03-02,utente_4,utente_10,152
2019-03-02,utente_10,utente_6,916
2019-03-02,utente_9,utente_4,875
2019-03-02,utente_9,utente_3,872
2019-03-02,utente_3,utente_7,263
2019-03-02,utente_6,utente_1,424
2019-03-02,utente_1,utente_2,486
2019-03-02,utente_5,utente_8,14
2019-03-02,utente_6,utente_3,137
2019-03-02,utente_6,utente_3,918
2019-03-02,utente_7,utente_5,723
2019-03-02,utente_4,utente_2,511
2019-03-02,utente_2,utente_9,864
2019-03-02,utente_9,utente_10,160
2019-03-02,utente_6,utente_5,296
2019-03-02,utente_7,utente_8,107
2019-03-02,utente_4,utente_7,701
2019-03-02,utente_8,utente_7,696
2019-03-02,utente_9,utente_10,987
2019-03-02,utente_10,utente_9,944
2019-03-02,utente_7,utente_10,231
2019-03-02,utente_3,utente_8,29
2019-03-02,utente_10,utente_5,617
2019-03-02,utente_10,utente_5,168
2019-03-02,utente_6,utente_5,764
2019-03-02,utente_3,utente_10,102
2019-03-02,utente_7,utente_5,810
2019-03-02,utente_5,utente_8,678
2019-03-02,utente_2,utente_7,36
2019-03-02,utente_3,utente_9,254
2019-03-02,utente_8,utente_7,873
2019-03-02,utente_10,utente_5,140
2019-03-02,utente_7,utente_10,510
2019-03-02,utente_5,utente_4,71
2019-03-02,utente_9,utente_4,405
2019-03-02,utente_9,utente_2,948
2019-03-02,utente_8,utente_6,312
2019-03-02,utente_3,utente_7,526
2019-03-02,utente_5,utente_9,395
2019-03-02,utente_9,utente_3,710
2019-03-02,utente_1,utente_8,631
2019-03-02,utente_3,utente_2,289
2019-03-02,utente_7,utente_2,212
2019-03-02,utente_2,utente_9,652
2019-03-02,utente_5,utente_4,131
2019-03-02,utente_5,utente_1,336
2019-03-02,utente_10,utente_5,479
2019-03-02,utente_8,utente_9,222
2019-03-02,utente_4,utente_9,443
2019-03-02,utente_2,utente_5,131
2019-03-02,utente_10,utente_1,297
2019-03-02,utente_1,utente_5,916
2019-03-02,utente_5,utente_1,549
2019-03-02,utente_1,utente_6,970
2019-03-02,utente_2,utente_8,15
2019-03-02,utente_7,utente_9,487
2019-03-02,utente_4,utente_9,948
2019-03-02,utente_7,utente_1,202
2019-03-02,utente_9,utente_1,982
2019-03-02,utente_10,utente_8,654
2019-03-02,utente_4,utente_9,859
2019-03-02,utente_6,utente_10,718
2019-03-02,utente_8,utente_7,192
2019-03-02,utente_4,utente_2,66
2019-03-02,utente_2,utente_10,698
2019-03-02,utente_4,utente_7,813
2019-03-02,utente_4,utente_8,976
2019-03-02,utente_2,utente_1,266
2019-03-02,utente_1,utente_4,790
2019-03-02,utente_6,utente_10,674
2019-03-02,utente_4,utente_10,164
2019-03-02,utente_1,utente_9,720
2019-03-02,utente_5,utente_4,883
2019-03-02,utente_1,utente_8,222
2019-03-02,utente_8,utente_4,409
2019-03-02,utente_5,utente_9,476
2019-03-02,utente_1,utente_5,418
2019-03-02,utente_4,utente_3,519
2019-03-02,utente_3,utente_2,446
2019-03-02,utente_7,utente_3,538
2019-03-02,utente_9,utente_4,32
2019-03-02,utente_7,utente_2,782
2019-03-02,utente_10,utente_4,993
2019-03-02,utente_6,utente_7,973
2019-03-02,utente_2,utente_1,51
2019-03-02,utente_1,utente_3,254
2019-03-02,utente_5,utente_6,123
2019-03-02,utente_1,utente_4,927
2019-03-02,utente_8,utente_9,986
2019-03-02,utente_1,utente_10,227
2019-03-02,utente_5,utente_2,977
2019-03-02,utente_5,utente_8,389
2019-03-02,utente_1,utente_8,15
2019-03-02,utente_6,utente_9,725
2019-03-02,utente_5,utente_4,524
2019-03-02,utente_5,utente_1,995
2019-03-02,utente_3,utente_4,683
2019-03-02,utente_7,utente_8,791
2019-03-02,utente_9,utente_6,482
2019-03-02,utente_8,utente_6,765
2019-03-02,utente_1,utente_4,683
2019-03-02,utente_8,utente_3,158
2019-03-02,utente_4,utente_1,370
2019-03-02,utente_10,utente_2,141
2019-03-02,utente_4,utente_3,788
2019-03-02,utente_8,utente_4,698
2019-03-02,utente_6,utente_10,907
2019-03-02,utente_7,utente_8,677
2019-03-02,utente_6,utente_1,268
2019-03-02,utente_9,utente_3,733
